,FIPS,STNAME,CTYNAME,YEAR,POPULATION
290,01037,Alabama,Coosa County,POPESTIMATE2005,11467.0
291,01037,Alabama,Coosa County,POPESTIMATE2006,11451.0
292,01037,Alabama,Coosa County,POPESTIMATE2007,11439.0
293,01037,Alabama,Coosa County,POPESTIMATE2008,11493.0
294,01037,Alabama,Coosa County,POPESTIMATE2009,11410.0
295,01037,Alabama,Coosa County,POPESTIMATE2011,11487.0
296,01037,Alabama,Coosa County,POPESTIMATE2012,11347.0
297,01037,Alabama,Coosa County,POPESTIMATE2013,11256.0
298,01037,Alabama,Coosa County,POPESTIMATE2014,11038.0
299,01037,Alabama,Coosa County,POPESTIMATE2015,10938.0
300,01039,Alabama,Covington County,CENSUS2010,37765.0
301,01039,Alabama,Covington County,ESTIMATESBASE2000,37640.0
302,01039,Alabama,Covington County,ESTIMATESBASE2010,37766.0
303,01039,Alabama,Covington County,POPESTIMATE2003,36860.0
304,01039,Alabama,Covington County,POPESTIMATE2004,36806.0
305,01039,Alabama,Covington County,POPESTIMATE2005,37204.0
306,01039,Alabama,Covington County,POPESTIMATE2006,37441.0
307,01039,Alabama,Covington County,POPESTIMATE2007,37631.0
308,01039,Alabama,Covington County,POPESTIMATE2008,37545.0
309,01039,Alabama,Covington County,POPESTIMATE2009,37648.0
310,01039,Alabama,Covington County,POPESTIMATE2011,38019.0
311,01039,Alabama,Covington County,POPESTIMATE2012,37804.0
312,01039,Alabama,Covington County,POPESTIMATE2013,37812.0
313,01039,Alabama,Covington County,POPESTIMATE2014,37756.0
314,01039,Alabama,Covington County,POPESTIMATE2015,37551.0
315,01041,Alabama,Crenshaw County,CENSUS2010,13906.0
316,01041,Alabama,Crenshaw County,ESTIMATESBASE2000,13657.0
317,01041,Alabama,Crenshaw County,ESTIMATESBASE2010,13898.0
318,01041,Alabama,Crenshaw County,POPESTIMATE2003,13652.0
319,01041,Alabama,Crenshaw County,POPESTIMATE2004,13727.0
320,01041,Alabama,Crenshaw County,POPESTIMATE2005,13699.0
321,01041,Alabama,Crenshaw County,POPESTIMATE2006,13880.0
322,01041,Alabama,Crenshaw County,POPESTIMATE2007,13956.0
323,01041,Alabama,Crenshaw County,POPESTIMATE2008,13922.0
324,01041,Alabama,Crenshaw County,POPESTIMATE2009,14024.0
325,01041,Alabama,Crenshaw County,POPESTIMATE2011,13899.0
326,01041,Alabama,Crenshaw County,POPESTIMATE2012,13921.0
327,01041,Alabama,Crenshaw County,POPESTIMATE2013,13854.0
328,01041,Alabama,Crenshaw County,POPESTIMATE2014,13859.0
329,01041,Alabama,Crenshaw County,POPESTIMATE2015,13857.0
330,01043,Alabama,Cullman County,CENSUS2010,80406.0
331,01043,Alabama,Cullman County,ESTIMATESBASE2000,77426.0
332,01043,Alabama,Cullman County,ESTIMATESBASE2010,80406.0
333,01043,Alabama,Cullman County,POPESTIMATE2003,77657.0
334,01043,Alabama,Cullman County,POPESTIMATE2004,78131.0
335,01043,Alabama,Cullman County,POPESTIMATE2005,78692.0
336,01043,Alabama,Cullman County,POPESTIMATE2006,79044.0
337,01043,Alabama,Cullman County,POPESTIMATE2007,79576.0
338,01043,Alabama,Cullman County,POPESTIMATE2008,80273.0
339,01043,Alabama,Cullman County,POPESTIMATE2009,80351.0
340,01043,Alabama,Cullman County,POPESTIMATE2011,80401.0
341,01043,Alabama,Cullman County,POPESTIMATE2012,80273.0
342,01043,Alabama,Cullman County,POPESTIMATE2013,80688.0
343,01043,Alabama,Cullman County,POPESTIMATE2014,81067.0
344,01043,Alabama,Cullman County,POPESTIMATE2015,81764.0
345,01045,Alabama,Dale County,CENSUS2010,50251.0
346,01045,Alabama,Dale County,ESTIMATESBASE2000,49120.0
347,01045,Alabama,Dale County,ESTIMATESBASE2010,50249.0
348,01045,Alabama,Dale County,POPESTIMATE2003,49215.0
349,01045,Alabama,Dale County,POPESTIMATE2004,49245.0
350,01045,Alabama,Dale County,POPESTIMATE2005,49050.0
351,01045,Alabama,Dale County,POPESTIMATE2006,49077.0
352,01045,Alabama,Dale County,POPESTIMATE2007,49488.0
353,01045,Alabama,Dale County,POPESTIMATE2008,49871.0
354,01045,Alabama,Dale County,POPESTIMATE2009,49854.0
355,01045,Alabama,Dale County,POPESTIMATE2011,50112.0
356,01045,Alabama,Dale County,POPESTIMATE2012,50284.0
357,01045,Alabama,Dale County,POPESTIMATE2013,49772.0
358,01045,Alabama,Dale County,POPESTIMATE2014,49417.0
359,01045,Alabama,Dale County,POPESTIMATE2015,49349.0
360,01047,Alabama,Dallas County,CENSUS2010,43820.0
361,01047,Alabama,Dallas County,ESTIMATESBASE2000,46361.0
362,01047,Alabama,Dallas County,ESTIMATESBASE2010,43818.0
363,01047,Alabama,Dallas County,POPESTIMATE2003,45170.0
364,01047,Alabama,Dallas County,POPESTIMATE2004,44795.0
365,01047,Alabama,Dallas County,POPESTIMATE2005,44434.0
366,01047,Alabama,Dallas County,POPESTIMATE2006,44323.0
367,01047,Alabama,Dallas County,POPESTIMATE2007,44194.0
368,01047,Alabama,Dallas County,POPESTIMATE2008,44265.0
369,01047,Alabama,Dallas County,POPESTIMATE2009,43759.0
370,01047,Alabama,Dallas County,POPESTIMATE2011,43256.0
371,01047,Alabama,Dallas County,POPESTIMATE2012,42795.0
372,01047,Alabama,Dallas County,POPESTIMATE2013,41983.0
373,01047,Alabama,Dallas County,POPESTIMATE2014,41562.0
374,01047,Alabama,Dallas County,POPESTIMATE2015,40948.0
375,01049,Alabama,DeKalb County,CENSUS2010,71109.0
376,01049,Alabama,DeKalb County,ESTIMATESBASE2000,64436.0
377,01049,Alabama,DeKalb County,ESTIMATESBASE2010,71116.0
378,01049,Alabama,DeKalb County,POPESTIMATE2003,66530.0
379,01049,Alabama,DeKalb County,POPESTIMATE2004,67260.0
380,01049,Alabama,DeKalb County,POPESTIMATE2005,67794.0
381,01049,Alabama,DeKalb County,POPESTIMATE2006,68495.0
382,01049,Alabama,DeKalb County,POPESTIMATE2007,69450.0
383,01049,Alabama,DeKalb County,POPESTIMATE2008,70228.0
384,01049,Alabama,DeKalb County,POPESTIMATE2009,70864.0
385,01049,Alabama,DeKalb County,POPESTIMATE2011,71352.0
386,01049,Alabama,DeKalb County,POPESTIMATE2012,70937.0
387,01049,Alabama,DeKalb County,POPESTIMATE2013,70911.0
388,01049,Alabama,DeKalb County,POPESTIMATE2014,70999.0
389,01049,Alabama,DeKalb County,POPESTIMATE2015,71112.0
390,01051,Alabama,Elmore County,CENSUS2010,79303.0
391,01051,Alabama,Elmore County,ESTIMATESBASE2000,65819.0
392,01051,Alabama,Elmore County,ESTIMATESBASE2010,79293.0
393,01051,Alabama,Elmore County,POPESTIMATE2003,69935.0
394,01051,Alabama,Elmore County,POPESTIMATE2004,71018.0
395,01051,Alabama,Elmore County,POPESTIMATE2005,72978.0
396,01051,Alabama,Elmore County,POPESTIMATE2006,75246.0
397,01051,Alabama,Elmore County,POPESTIMATE2007,77124.0
398,01051,Alabama,Elmore County,POPESTIMATE2008,77698.0
399,01051,Alabama,Elmore County,POPESTIMATE2009,78632.0
400,01051,Alabama,Elmore County,POPESTIMATE2011,80009.0
401,01051,Alabama,Elmore County,POPESTIMATE2012,80216.0
402,01051,Alabama,Elmore County,POPESTIMATE2013,80569.0
403,01051,Alabama,Elmore County,POPESTIMATE2014,80568.0
404,01051,Alabama,Elmore County,POPESTIMATE2015,80924.0
405,01053,Alabama,Escambia County,CENSUS2010,38319.0
406,01053,Alabama,Escambia County,ESTIMATESBASE2000,38452.0
407,01053,Alabama,Escambia County,ESTIMATESBASE2010,38320.0
408,01053,Alabama,Escambia County,POPESTIMATE2003,37796.0
409,01053,Alabama,Escambia County,POPESTIMATE2004,37713.0
410,01053,Alabama,Escambia County,POPESTIMATE2005,37601.0
411,01053,Alabama,Escambia County,POPESTIMATE2006,37673.0
412,01053,Alabama,Escambia County,POPESTIMATE2007,37839.0
413,01053,Alabama,Escambia County,POPESTIMATE2008,37929.0
414,01053,Alabama,Escambia County,POPESTIMATE2009,38249.0
415,01053,Alabama,Escambia County,POPESTIMATE2011,38201.0
416,01053,Alabama,Escambia County,POPESTIMATE2012,38023.0
417,01053,Alabama,Escambia County,POPESTIMATE2013,37763.0
418,01053,Alabama,Escambia County,POPESTIMATE2014,37738.0
419,01053,Alabama,Escambia County,POPESTIMATE2015,37665.0
420,01055,Alabama,Etowah County,CENSUS2010,104430.0
421,01055,Alabama,Etowah County,ESTIMATESBASE2000,103448.0
422,01055,Alabama,Etowah County,ESTIMATESBASE2010,104427.0
423,01055,Alabama,Etowah County,POPESTIMATE2003,103025.0
424,01055,Alabama,Etowah County,POPESTIMATE2004,103080.0
425,01055,Alabama,Etowah County,POPESTIMATE2005,103174.0
426,01055,Alabama,Etowah County,POPESTIMATE2006,103528.0
427,01055,Alabama,Etowah County,POPESTIMATE2007,103893.0
428,01055,Alabama,Etowah County,POPESTIMATE2008,104206.0
429,01055,Alabama,Etowah County,POPESTIMATE2009,104239.0
